ID	HN-B	HN-Ca	HN-CHL	HN-Cu	HN-DW	HN-Fe	HN-FW	HN-K	HN-LA	HN-Mg	HN-Mn	HN-N	HN-P	HN-S	HN-Zn	LN-B	LN-Ca	LN-CHL	LN-Cu	LN-DW	LN-Fe	LN-FW	LN-K	LN-LA	LN-Mg	LN-Mn	LN-N	LN-P	LN-S	LN-Zn
A632	19.84010132	0.310835185	365.2402402	9.005943306	5.765767372	96.16003257	23.93261167	2.433214274	1053.676314	0.194815671	62.64251073	2.824572967	0.338071747	0.168862907	28.35670634	16.66880066	0.261439831	303.8645617	6.20644631	5.203231673	70.66069557	19.96643074	2.050578432	911.3488339	0.159311429	43.8521552	2.105841664	0.334945649	0.169011283	24.09033149
A634	19.11254546	0.430539285	436.5767889	12.56224435	5.506532067	95.94813868	19.9115495	1.974476819	949.358506	0.255743798	66.44138967	2.850621782	0.315799814	0.187314663	36.37927839	14.87023016	0.326582092	267.2399265	6.20644631	4.377568738	69.44439131	16.44176559	2.001627457	804.8757128	0.195707806	53.01348133	1.935713183	0.31808346	0.165765765	NA
A635	16.20232201	0.336717153	337.0510463	8.294683097	NA	92.55783632	13.99254599	2.210129621	758.8425511	0.201983686	56.18441655	2.70363204	0.29352788	0.184678698	NA	13.67118315	0.269103627	242.8526396	4.048660822	4.459155985	62.87634831	16.41029537	1.886243015	807.6936486	0.143135261	39.68791605	1.75160154	0.250634702	0.133310594	17.66144005
A641	25.92524512	0.454801331	354.3977611	8.468222541	5.171401722	98.08511244	19.9081888	2.237786307	937.8688466	0.242099828	77.63579032	2.765172839	0.334322109	0.193246236	46.73485738	19.27799003	0.399008037	299.5793095	7.584477009	4.541405248	79.74680991	16.99388651	1.806414932	804.9750205	0.201897379	61.33827721	2.091062538	0.323000728	0.209790908	44.6704885
A654	21.65899097	0.41112781	294.2121071	18.25232602	4.860269404	105.0595763	19.55769603	2.417504087	955.9433838	0.234239753	68.34082913	2.718517077	0.349207713	0.184678698	46.80862206	16.06927716	0.437707124	271.4938619	11.24127912	6.045212058	80.14786879	23.76383783	2.144983885	1089.89366	0.175487596	55.51202482	2.01961216	0.303630154	0.162520248	35.05726394
A659	16.56609994	0.343187645	363.7598449	10.07283362	6.901291034	100.6098044	30.80460692	2.379799638	1336.341056	0.176895633	77.83802647	2.897137523	0.301879855	0.176770802	23.14203451	15.46975366	0.311254501	341.567249	7.285339054	NA	80.6343905	NA	1.910718503	NA	0.114826968	NA	2.180418532	0.298812386	0.1722568	21.82131098
A661	23.47788063	0.349658137	357.2522738	8.294683097	5.543044082	91.92215462	21.2183947	2.483486871	1019.673648	0.137471551	70.2402686	2.727820225	0.29352788	0.171498872	25.54880612	19.36665642	0.284431217	298.5617108	5.487184481	4.025111833	71.39047812	15.73543389	2.309319302	780.9540739	0.106738884	63.00765528	2.024273214	0.298812386	0.14953818	21.44314089
A679	19.84010132	0.404657318	418.256897	11.13972393	7.332132809	101.6692739	30.74026992	2.272970368	1277.585935	0.194815671	55.80452866	2.960398931	0.315799814	0.192586593	24.74654892	16.96856241	0.349573477	292.0642616	4.767922652	5.979942261	75.76917346	23.87223527	1.970158973	1104.509948	0.126959093	46.76712261	1.912407912	0.279541313	0.152783697	17.28326996
A680	16.20232201	0.472597483	411.5951182	12.20661424	7.956488263	97.85518375	32.32054735	2.00903923	1403.822978	0.209151701	72.13970807	2.91202256	0.287959897	0.195222558	26.35106333	17.26832417	0.433875226	313.2465287	NA	7.386506392	80.6343905	28.17666264	1.935193991	1220.635612	0.155267387	74.25110098	2.115163773	0.284359081	0.1722568	NA
A682	26.75188201	0.385245842	414.6484335	12.20661424	6.481402863	110.7807115	26.56238632	2.417504087	1132.659735	0.144639566	71.00004439	2.952956412	0.313015822	0.189950628	24.34542031	16.36903891	0.364901068	282.3617926	7.285339054	5.722126562	80.6343905	22.17633984	2.379249266	1002.633178	0.11887101	57.17772047	2.070883757	0.291585734	0.14953818	18.7959503
