HAV,N_treatment
HAV_5518,std_N
HAV_5519,std_N
HAV_5520,std_N
HAV_5521,std_N
HAV_5522,std_N
HAV_5523,std_N
HAV_5524,std_N
HAV_5525,std_N
HAV_5526,std_N
HAV_5527,std_N
HAV_5528,std_N
HAV_5529,std_N
HAV_5530,std_N
HAV_5531,std_N
HAV_5532,std_N
HAV_5533,std_N
HAV_5534,std_N
HAV_5535,std_N
HAV_5536,std_N
HAV_5537,std_N
HAV_5538,std_N
HAV_5539,std_N
HAV_5540,std_N
HAV_5541,std_N
HAV_5542,std_N
HAV_5543,std_N
HAV_5544,std_N
HAV_5545,std_N
HAV_5546,std_N
HAV_5547,std_N
HAV_5548,std_N
HAV_5549,std_N
HAV_5550,std_N
HAV_5551,std_N
HAV_5552,std_N
HAV_5553,std_N
HAV_5554,std_N
HAV_5555,std_N
HAV_5556,std_N
HAV_5557,std_N
HAV_5558,std_N
HAV_5559,std_N
HAV_5560,std_N
HAV_5561,std_N
HAV_5562,std_N
HAV_5563,std_N
HAV_5564,std_N
HAV_5565,std_N
HAV_5566,std_N
HAV_5567,std_N
HAV_5568,std_N
HAV_5569,std_N
HAV_5570,std_N
HAV_5571,std_N
HAV_5572,std_N
HAV_5573,std_N
HAV_5574,std_N
HAV_5575,std_N
HAV_5576,std_N
HAV_5577,std_N
HAV_5578,std_N
HAV_5579,std_N
HAV_5580,std_N
HAV_5581,no_N
HAV_5582,no_N
HAV_5583,no_N
HAV_5584,no_N
HAV_5585,no_N
HAV_5586,no_N
HAV_5587,no_N
HAV_5588,no_N
HAV_5589,no_N
HAV_5590,no_N
HAV_5591,no_N
HAV_5592,no_N
HAV_5593,no_N
HAV_5594,no_N
HAV_5595,no_N
HAV_5596,no_N
HAV_5597,no_N
HAV_5598,no_N
HAV_5599,no_N
HAV_5600,no_N
HAV_5601,no_N
HAV_5602,no_N
HAV_5603,no_N
HAV_5604,no_N
HAV_5605,no_N
HAV_5606,no_N
HAV_5607,no_N
HAV_5608,no_N
HAV_5609,no_N
HAV_5610,no_N
HAV_5611,no_N
HAV_5612,no_N
HAV_5613,no_N
HAV_5614,no_N
HAV_5615,no_N
HAV_5616,no_N
HAV_5617,no_N
HAV_5618,no_N
HAV_5619,no_N
HAV_5620,no_N
HAV_5621,no_N
HAV_5622,no_N
HAV_5623,no_N
HAV_5624,no_N
HAV_5625,no_N
HAV_5626,no_N
HAV_5627,no_N
HAV_5628,no_N
HAV_5629,no_N
HAV_5630,no_N
HAV_5631,no_N
HAV_5632,no_N
HAV_5633,no_N
HAV_5634,no_N
HAV_5635,no_N
HAV_5636,no_N
HAV_5637,no_N
HAV_5638,no_N
HAV_5639,no_N
HAV_5640,no_N
HAV_5641,no_N
HAV_5642,no_N
HAV_5643,no_N
HAV_5644,no_N
HAV_5645,no_N
HAV_5646,no_N
HAV_5647,no_N
HAV_5648,no_N
HAV_5649,no_N
HAV_5650,no_N
