Sample_ID,raw_seq_count,filename,genotype,nitrogen,block,sp,spb,subsample,collected_by_person,row,year,pedigree,subpopulation
HAV_2414,96823,HAV_2414_S125_R1_001.fastq.gz,RTH3,-N,N,sp4,spb1,rep2,EMS,2464,Y2018,roothairless3,NA
HAV_2415,126208,HAV_2415_S70_R1_001.fastq.gz,CHECK2,-N,N,sp4,spb2,rep1,CRG,2465,Y2018,B37xMo17,NA
HAV_2416,104653,HAV_2416_S78_R1_001.fastq.gz,CML103,-N,N,sp4,spb2,rep1,BAS,2473,Y2018,Ames 27081,ts
HAV_2417,84178,HAV_2417_S86_R1_001.fastq.gz,CML103,-N,N,sp4,spb2,rep2,NF,2474,Y2018,Ames 27081,ts
HAV_2418,82615,HAV_2418_S94_R1_001.fastq.gz,CHECK2,-N,N,sp4,spb3,rep1,BAS,2492,Y2018,B37xMo17,NA
HAV_2419,106304,HAV_2419_S102_R1_001.fastq.gz,CHECK2,-N,N,sp3,spb1,rep1,CRG,2502,Y2018,B37xMo17,NA
HAV_2420,63415,HAV_2420_S110_R1_001.fastq.gz,CML277,-N,N,sp3,spb1,rep1,CRG,2513,Y2018,PI 595550,ts
HAV_2421,117858,HAV_2421_S118_R1_001.fastq.gz,CML277,-N,N,sp3,spb1,rep2,CRG,2514,Y2018,PI 595550,ts
HAV_2422,113316,HAV_2422_S126_R1_001.fastq.gz,CML228,-N,N,sp3,spb1,rep1,CRG,2515,Y2018,Ames 27088,ts
HAV_2423,136123,HAV_2423_S71_R1_001.fastq.gz,CML228,-N,N,sp3,spb1,rep2,CRG,2516,Y2018,Ames 27088,ts
HAV_2424,113456,HAV_2424_S79_R1_001.fastq.gz,CML69,-N,N,sp3,spb2,rep1,CRG,2519,Y2018,Ames 28184,ts
HAV_2425,87299,HAV_2425_S87_R1_001.fastq.gz,CML69,-N,N,sp3,spb2,rep2,CRG,2520,Y2018,Ames 28184,ts
HAV_2426,112046,HAV_2426_S95_R1_001.fastq.gz,CHECK,-N,N,sp3,spb2,rep1,CRG,2523,Y2018,B73xMo17,NA
HAV_2427,128396,HAV_2427_S103_R1_001.fastq.gz,T232,-N,N,sp3,spb3,rep1,EMS,2541,Y2018,PI 550522,mixed
HAV_2428,52869,HAV_2428_S111_R1_001.fastq.gz,T232,-N,N,sp3,spb3,rep2,CRG,2542,Y2018,PI 550522,mixed
HAV_2429,98761,HAV_2429_S119_R1_001.fastq.gz,CHECK,-N,N,sp4,spb1,rep1,CRG,2558,Y2018,B73xMo17,NA
HAV_2430,106201,HAV_2430_S127_R1_001.fastq.gz,CHECK2,-N,N,sp4,spb1,rep1,CRG,2561,Y2018,B37xMo17,NA
HAV_2431,115014,HAV_2431_S72_R1_001.fastq.gz,CHECK,-N,N,sp4,spb2,rep1,CRG,2580,Y2018,B73xMo17,NA
HAV_2432,93880,HAV_2432_S80_R1_001.fastq.gz,CHECK,-N,N,sp4,spb3,rep1,CRG,2582,Y2018,B73xMo17,NA
HAV_2433,93381,HAV_2433_S88_R1_001.fastq.gz,A554,-N,S,sp1,spb1,rep1,GL,3001,Y2018,PI 587138,nss
HAV_2434,104164,HAV_2434_S96_R1_001.fastq.gz,A554,-N,S,sp1,spb1,rep2,GL,3002,Y2018,PI 587138,nss
HAV_2435,110813,HAV_2435_S104_R1_001.fastq.gz,MT42,-N,S,sp1,spb2,rep1,GL,3019,Y2018,Ames 20140,mixed
HAV_2436,63993,HAV_2436_S112_R1_001.fastq.gz,MT42,-N,S,sp1,spb2,rep2,ALB,3020,Y2018,Ames 20140,mixed
HAV_2437,96751,HAV_2437_S120_R1_001.fastq.gz,CHECK2,-N,S,sp1,spb2,rep1,GL,3026,Y2018,B37xMo17,NA
HAV_2438,85846,HAV_2438_S1_R1_001.fastq.gz,CHECK2,-N,S,sp1,spb3,rep1,ALB,3040,Y2018,B37xMo17,NA
HAV_2439,98708,HAV_2439_S9_R1_001.fastq.gz,OH43,-N,S,sp1,spb3,rep1,ALB,3043,Y2018,Ames 19288,nss
HAV_2440,99298,HAV_2440_S17_R1_001.fastq.gz,OH43,-N,S,sp1,spb3,rep2,ALB,3044,Y2018,Ames 19288,nss
HAV_2441,117360,HAV_2441_S25_R1_001.fastq.gz,CHECK,-N,S,sp2,spb1,rep1,GL,3051,Y2018,B73xMo17,NA
HAV_2442,119332,HAV_2442_S33_R1_001.fastq.gz,CHECK2,-N,S,sp2,spb1,rep1,GL,3055,Y2018,B37xMo17,NA
HAV_2443,61225,HAV_2443_S41_R1_001.fastq.gz,CML333,-N,S,sp2,spb1,rep1,ALB,3057,Y2018,Ames 27101,ts
HAV_2444,103004,HAV_2444_S49_R1_001.fastq.gz,CML333,-N,S,sp2,spb1,rep2,ALB,3058,Y2018,Ames 27101,ts
HAV_2445,103152,HAV_2445_S57_R1_001.fastq.gz,CML69,-N,S,sp2,spb2,rep1,GL,3073,Y2018,Ames 28184,ts
HAV_2446,77175,HAV_2446_S2_R1_001.fastq.gz,CML69,-N,S,sp2,spb2,rep2,GL,3074,Y2018,Ames 28184,ts
HAV_2447,103397,HAV_2447_S10_R1_001.fastq.gz,CHECK2,-N,S,sp1,spb1,rep1,NF,3106,Y2018,B37xMo17,NA
HAV_2448,92806,HAV_2448_S18_R1_001.fastq.gz,CHECK,-N,S,sp1,spb3,rep1,ALB,3142,Y2018,B73xMo17,NA
HAV_2449,101013,HAV_2449_S26_R1_001.fastq.gz,SD44,-N,S,sp1,spb3,rep1,NF,3143,Y2018,PI 524969,nss
HAV_2450,105459,HAV_2450_S34_R1_001.fastq.gz,SD44,-N,S,sp1,spb3,rep2,ALB,3144,Y2018,PI 524969,nss
HAV_2451,41103,HAV_2451_S42_R1_001.fastq.gz,CML277,-N,S,sp2,spb1,rep1,GL,3159,Y2018,PI 595550,ts
HAV_2452,101443,HAV_2452_S50_R1_001.fastq.gz,CML277,-N,S,sp2,spb1,rep2,GL,3160,Y2018,PI 595550,ts
HAV_2453,95714,HAV_2453_S58_R1_001.fastq.gz,CML228,-N,S,sp2,spb1,rep1,GL,3161,Y2018,Ames 27088,ts
HAV_2454,126350,HAV_2454_S3_R1_001.fastq.gz,CML228,-N,S,sp2,spb1,rep2,GL,3162,Y2018,Ames 27088,ts
HAV_2455,147276,HAV_2455_S11_R1_001.fastq.gz,CHECK,-N,S,sp2,spb2,rep1,GL,3166,Y2018,B73xMo17,NA
HAV_2456,110138,HAV_2456_S19_R1_001.fastq.gz,CHECK2,-N,S,sp2,spb2,rep1,GL,3167,Y2018,B37xMo17,NA
HAV_2457,153732,HAV_2457_S27_R1_001.fastq.gz,MS71,-N,S,sp2,spb3,rep1,CRG,3181,Y2018,PI 587137,nss
HAV_2458,159898,HAV_2458_S35_R1_001.fastq.gz,MS71,-N,S,sp2,spb3,rep2,CRG,3182,Y2018,PI 587137,nss
HAV_2459,83099,HAV_2459_S43_R1_001.fastq.gz,CHECK2,-N,S,sp2,spb3,rep1,ALB,3188,Y2018,B37xMo17,NA
HAV_2460,146104,HAV_2460_S51_R1_001.fastq.gz,B76,-N,S,sp1,spb1,rep1,NF,3211,Y2018,PI 550483,ss
HAV_2461,122078,HAV_2461_S59_R1_001.fastq.gz,B76,-N,S,sp1,spb1,rep2,GL,3212,Y2018,PI 550483,ss
HAV_2462,100792,HAV_2462_S4_R1_001.fastq.gz,CHECK,-N,S,sp1,spb1,rep1,CRG,3215,Y2018,B73xMo17,NA
